symbol,company
ABB,ABB India
ADANIENSOL,Adani Energy Solutions
ADANIENT,Adani Enterprises
ADANIGREEN,Adani Green Energy
ADANIPORTS,Adani Ports and Special Economic Zone
ADANIPOWER,Adani Power
AMBUJACEM,Ambuja Cements
APOLLOHOSP,Apollo Hospitals Enterprise
ASIANPAINT,Asian Paints
DMART,Avenue Supermarts
AXISBANK,Axis Bank
BAJAJ-AUTO,Bajaj Auto
BAJFINANCE,Bajaj Finance
BAJAJFINSV,Bajaj Finserv
BAJAJHLDNG,Bajaj Holdings & Investment
BANKBARODA,Bank of Baroda
BEL,Bharat Electronics
BPCL,Bharat Petroleum Corporation
BHARTIARTL,Bharti Airtel
BOSCHLTD,Bosch
BRITANNIA,Britannia Industries
CGPOWER,CG Power and Industrial Solutions
CANBK,Canara Bank
CHOLAFIN,Cholamandalam Investment and Finance Company
CIPLA,Cipla
COALINDIA,Coal India
CUMMINSIND,Cummins India
DLF,DLF
DIVISLAB,Divi's Laboratories
DRREDDY,Dr. Reddy's Laboratories
EICHERMOT,Eicher Motors
ETERNAL,Eternal
GAIL,GAIL (India)
GODREJCP,Godrej Consumer Products
GRASIM,Grasim Industries
HCLTECH,HCL Technologies
HDFCAMC,HDFC Asset Management Company
HDFCBANK,HDFC Bank
HDFCLIFE,HDFC Life Insurance Company
HINDALCO,Hindalco Industries
HAL,Hindustan Aeronautics
HINDUNILVR,Hindustan Unilever
HINDZINC,Hindustan Zinc
HYUNDAI,Hyundai Motor India
ICICIBANK,ICICI Bank
ITC,ITC
INDHOTEL,Indian Hotels Co.
IOC,Indian Oil Corporation
IRFC,Indian Railway Finance Corporation
INFY,Infosys
INDIGO,InterGlobe Aviation
JSWSTEEL,JSW Steel
JINDALSTEL,Jindal Steel
JIOFIN,Jio Financial Services
KOTAKBANK,Kotak Mahindra Bank
LTM,LTM
LT,Larsen & Toubro
LODHA,Lodha Developers
M&M,Mahindra & Mahindra
MARUTI,Maruti Suzuki India
MAXHEALTH,Max Healthcare Institute
MAZDOCK,Mazagoan Dock Shipbuilders
MUTHOOTFIN,Muthoot Finance
NTPC,NTPC
NESTLEIND,Nestle India
ONGC,Oil & Natural Gas Corporation
PIDILITIND,Pidilite Industries
PFC,Power Finance Corporation
POWERGRID,Power Grid Corporation of India
PNB,Punjab National Bank
RECLTD,REC
RELIANCE,Reliance Industries
SBILIFE,SBI Life Insurance Company
MOTHERSON,Samvardhana Motherson International
SHREECEM,Shree Cement
SHRIRAMFIN,Shriram Finance
ENRIN,Siemens Energy India
SIEMENS,Siemens
SOLARINDS,Solar Industries India
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries
TVSMOTOR,TVS Motor Company
TATACAP,Tata Capital
TCS,Tata Consultancy Services
TATACONSUM,Tata Consumer Products
TMCV,Tata Motors
TMPV,Tata Motors Passenger Vehicles
TATAPOWER,Tata Power
TATASTEEL,Tata Steel
TECHM,Tech Mahindra
TITAN,Titan Company
TORNTPHARM,Torrent Pharmaceuticals
TRENT,Trent
ULTRACEMCO,UltraTech Cement
UNIONBANK,Union Bank of India
UNITDSPR,United Spirits
VBL,Varun Beverages
VEDL,Vedanta
WIPRO,Wipro
ZYDUSLIFE,Zydus Lifesciences
